Intervalo,Capacidad Memoria,Velocidad CPU,Num CPUs,Número de Procesos,Promedio Tiempo Ejecución,Desviación Estándar
5,200,3,1,100,4.9586068224031825,3.4810163825427116
5,200,3,1,150,5.389972413272347,4.082101132625395
5,200,3,1,200,4.312157532833871,4.277140156230381
5,200,3,2,25,3.046967490288434,1.712364750822183
5,200,3,2,50,2.5027053303630025,1.3741644497628642
5,200,3,2,100,2.443505984493932,1.4635442308503637
5,200,3,2,150,2.7289820143483166,1.559526093573113
5,200,3,2,200,2.4673154800088297,1.4284285062044093
5,200,6,1,25,2.0841570833297576,1.4645095777009576
5,200,6,1,50,1.701507579977849,1.018891582824534
5,200,6,1,100,1.8686524335810777,1.120035026983017
5,200,6,1,150,1.9111469469556004,1.2022086241572185
5,200,6,1,200,1.8627262441711718,1.2525875872000725
5,200,6,2,25,1.4000017657800798,0.6928193036072012
5,200,6,2,50,1.4599999999999995,0.6988562083862458
5,200,6,2,100,1.456778146462973,0.6983355560278528
5,200,6,2,150,1.3899424910750395,0.6267619900354076
5,200,6,2,200,1.561656712490692,0.7303119906272479
1,100,3,1,25,23.650634919228732,13.026139432956208
1,100,3,1,50,43.35362734527776,21.227692741270726
1,100,3,1,100,78.27330450907465,37.025734772605624
1,100,3,1,150,98.95726845046634,53.68565547486992
1,100,3,1,200,151.40641541754695,85.8098084201113
1,100,3,2,25,3.666616057378267,1.7100060268415556
1,100,3,2,50,6.293459925013528,4.217026344644577
1,100,3,2,100,20.541467721623352,11.18142053598079
1,100,3,2,150,31.52328876805147,16.536103095561888
1,100,3,2,200,27.954498072109963,14.449229667209169
1,100,6,1,25,5.779447795051063,2.6844513822179628
1,100,6,1,50,13.79290199691471,8.591972768242549
1,100,6,1,100,38.48067622082303,20.522991931463014
1,100,6,1,150,34.536635952202545,19.583611880584318
1,100,6,1,200,58.40589219206864,34.04847778007373
1,100,6,2,25,1.6272898074502893,0.6929696954813416
1,100,6,2,50,2.3877153897425507,1.3795884968839283
1,100,6,2,100,2.695276903929695,1.3540213151753608
1,100,6,2,150,2.4919797829057515,1.542275197070684
1,100,6,2,200,2.7141502610552704,1.7024354787026532
1,200,3,1,25,17.179605009252036,10.86270409160102
1,200,3,1,50,46.00449365537917,24.860696069994354
1,200,3,1,100,84.3968151659737,43.85222769466449
1,200,3,1,150,127.10682970896099,67.66719707575945
1,200,3,1,200,134.0483897189586,77.81532596734971
1,200,3,2,25,6.942948701274394,4.092051867217924
1,200,3,2,50,15.525006225122363,10.261521909174283
1,200,3,2,100,23.72587506194295,14.481163391723523
1,200,3,2,150,20.379357340423986,13.908525187915831
1,200,3,2,200,21.77471071085505,17.922442520316043
1,200,6,1,25,8.041641907621358,4.881132182381574
1,200,6,1,50,18.451828466493126,8.365710392837135
1,200,6,1,100,30.119131249296196,21.00436303727574
1,200,6,1,150,41.08002902084782,23.881344592815793
1,200,6,1,200,48.72071812374714,34.38097179512099
1,200,6,2,25,2.723638701153559,1.2600036327890802
1,200,6,2,50,2.7031520476462187,2.0072797678650045
1,200,6,2,100,2.0256144926238746,1.1710606597061077
1,200,6,2,150,2.6413746977770027,1.6781874390308398
1,200,6,2,200,2.1458743969450382,1.3952352214816701
